iter,tourLength,time
1,3944.502569,264
2,3562.838353,245
3,3354.115648,253
4,3119.990765,249
5,3172.980298,287
6,3059.007214,289
7,3150.708486,264
8,3077.426250,239
9,3223.443358,245
10,3130.015852,237
11,3152.610386,245
12,3049.276606,264
13,3068.875951,235
14,3184.148781,242
15,3068.875951,233
16,3068.875951,237
17,3068.875951,252
18,3068.875951,242
19,3068.875951,233
20,3068.875951,240
21,3068.875951,234
22,3133.131634,237
23,3138.094204,232
24,3133.131634,240
25,3068.875951,245
26,3133.131634,242
27,3138.094204,234
28,3125.865019,238
29,3125.865019,239
30,3133.131634,244
31,3133.131634,231
32,3068.875951,253
33,3133.131634,256
34,3125.865019,243
35,3133.131634,238
36,3128.189660,243
37,3126.174173,235
38,3138.094204,241
39,3138.094204,240
40,3125.865019,241
41,3125.865019,237
42,3133.131634,242
43,3133.131634,249
44,3133.131634,233
45,3126.174173,241
46,3125.865019,240
47,3133.131634,234
48,3150.578579,239
49,3126.174173,241
50,3151.632999,235
51,3125.865019,238
52,3126.174173,243
53,3138.094204,264
54,3150.578579,239
55,3138.094204,241
56,3125.865019,234
57,3126.174173,238
58,3150.578579,235
59,3126.174173,244
60,3126.174173,243
61,3215.591082,235
62,3150.578579,241
63,3133.131634,239
64,3138.094204,247
65,3133.131634,241
66,3125.865019,244
67,3133.131634,240
68,3133.131634,238
69,3151.632999,244
70,3150.578579,246
71,3133.131634,235
72,3138.094204,237
73,3125.865019,240
74,3138.094204,264
75,3125.865019,239
76,3138.094204,235
77,3150.578579,249
78,3125.865019,249
79,3163.772574,244
80,3138.094204,239
81,3124.190462,241
82,3125.865019,236
83,3125.865019,249
84,3124.190462,241
85,3133.131634,237
86,3151.632999,240
87,3125.865019,243
88,3133.131634,238
89,3138.094204,244
90,3124.190462,240
91,3133.131634,239
92,3150.578579,246
93,3124.190462,236
94,3189.871291,253
95,3151.632999,258
96,3125.865019,238
97,3133.131634,242
98,3124.190462,241
99,3124.190462,248
100,3124.190462,246
101,3169.690326,249
102,3138.094204,332
103,3125.865019,289
104,3124.190462,239
105,3133.131634,244
106,3124.190462,242
107,3133.131634,238
108,3150.578579,234
109,3151.632999,240
110,3124.190462,237
111,3124.190462,246
112,3133.131634,238
113,3169.690326,236
114,3151.632999,256
115,3125.865019,251
116,3125.865019,236
117,3207.313273,240
118,3125.865019,240
119,3138.094204,238
120,3133.131634,250
121,3124.190462,240
122,3138.094204,243
123,3124.190462,238
124,3138.094204,239
125,3124.190462,237
126,3124.190462,238
127,3151.632999,238
128,3151.632999,238
129,3176.986136,242
130,3124.190462,245
131,3150.578579,241
132,3138.094204,243
133,3151.632999,241
134,3138.094204,235
135,3151.632999,259
136,3176.986136,240
137,3136.534103,245
138,3133.131634,238
139,3207.313273,236
140,3124.190462,235
141,3163.772574,244
142,3124.190462,242
143,3124.190462,232
144,3163.772574,240
145,3176.986136,243
146,3133.131634,242
147,3133.131634,241
148,3175.536918,243
149,3125.865019,235
150,3124.190462,242
151,3189.871291,240
152,3176.986136,239
153,3138.094204,234
154,3151.632999,252
155,3133.131634,251
156,3150.578579,259
157,3124.190462,236
158,3124.190462,243
159,3133.131634,236
160,3124.190462,239
161,3150.578579,244
162,3150.578579,243
163,3124.190462,237
164,3207.313273,238
165,3176.986136,239
166,3189.871291,238
167,3150.578579,245
168,3124.190462,240
169,3138.094204,238
170,3219.452029,244
171,3173.203066,247
172,3124.190462,230
173,3186.094204,238
174,3151.632999,245
175,3138.094204,246
176,3173.203066,258
177,3150.578579,250
178,3151.632999,236
179,3124.190462,239
180,3220.696389,240
181,3206.099651,244
182,3124.190462,243
183,3175.536918,234
184,3125.865019,241
185,3133.131634,238
186,3138.094204,243
187,3150.578579,235
188,3125.865019,240
189,3207.313273,241
190,3150.578579,235
191,3176.986136,239
192,3173.203066,235
193,3202.094204,239
194,3124.190462,235
195,3125.865019,235
196,3195.261388,241
197,3138.094204,263
198,3219.212462,241
199,3173.203066,240
200,3151.632999,238
