iter,tourLength,time
1,5621.795802,73
2,5704.598235,73
3,5520.478392,67
4,5253.955378,63
5,5938.240360,69
6,5954.661237,68
7,5987.734606,69
8,5512.148929,65
9,5854.319458,67
10,5624.137530,66
11,5785.393362,65
12,5529.262726,69
13,5656.114167,67
14,5694.576518,67
15,5827.782371,65
16,5741.835379,62
17,5656.887101,66
18,5638.039998,64
19,5540.721413,68
20,5696.011002,70
21,5856.724520,63
22,5683.766183,67
23,5310.994578,66
24,5345.844252,68
25,5375.593924,66
26,5434.338974,66
27,4991.305837,68
28,4889.892871,68
29,5072.038518,63
30,4763.541103,67
31,4552.395474,66
32,4480.890663,67
33,4365.721615,66
34,4322.675938,66
35,4256.347738,64
36,4119.510631,65
37,3953.375911,65
38,3706.815717,68
39,3809.003683,63
40,3826.776756,66
41,3714.047142,64
42,3604.268827,67
43,3541.620605,67
44,3226.837229,67
45,3445.160925,68
46,3345.694532,65
47,3327.284648,67
48,3441.174433,66
49,3312.779656,67
50,3334.199299,79
51,3210.631407,76
52,3289.995036,67
53,3409.721937,67
54,3298.942909,64
55,3194.302934,68
56,3296.139830,67
57,3162.140079,66
58,3292.956733,64
59,3335.022281,69
60,3282.091753,65
61,3240.269392,65
62,3231.031500,66
63,3246.463835,67
64,3212.861280,67
65,3166.271756,67
66,3299.409327,66
67,3183.824078,70
68,3130.280778,68
69,3214.875161,64
70,3205.752963,66
71,3210.149472,69
72,3189.048854,66
73,3180.732871,68
74,3209.298104,68
75,3238.405186,69
76,3235.665122,69
77,3130.788574,72
78,3159.239651,75
79,3188.264075,65
80,3165.637093,67
81,3167.245795,84
82,3198.467222,82
83,3204.998708,80
84,3201.753062,75
85,3153.914542,67
86,3231.254341,86
87,3225.755849,72
88,3192.877840,67
89,3176.707801,65
90,3198.633395,64
91,3203.792980,66
92,3167.836795,69
93,3113.547501,62
94,3213.228985,67
95,3196.628428,65
96,3173.108919,63
97,3232.434028,64
98,3183.663514,66
99,3154.645697,68
100,3214.538499,66
101,3224.995669,67
102,3116.466960,64
103,3192.199672,67
104,3127.642947,65
105,3114.801141,66
106,3215.869920,66
107,3191.511624,66
108,3201.237536,65
109,3238.892345,66
110,3210.899421,66
111,3183.803404,70
112,3209.303882,75
113,3172.952313,73
114,3181.124874,65
115,3225.277653,65
116,3231.977801,68
117,3209.402220,67
118,3118.379280,67
119,3144.772965,66
120,3196.101024,70
121,3191.511624,66
122,3180.116703,65
123,3210.839142,68
124,3247.521511,65
125,3156.772394,64
126,3205.968855,67
127,3184.510442,66
128,3255.166504,67
129,3180.059490,67
130,3203.716349,68
131,3200.302311,67
132,3246.517777,65
133,3201.960909,64
134,3236.514940,67
135,3223.654095,66
136,3212.900922,67
137,3221.372005,66
138,3263.997746,65
139,3224.764261,67
140,3213.228985,65
141,3228.069318,67
142,3236.606567,66
143,3213.259438,69
144,3245.754204,70
145,3234.722340,67
146,3220.274833,68
147,3228.392655,69
148,3224.686115,73
149,3216.239498,69
150,3237.610619,76
151,3213.259438,66
152,3188.810853,67
153,3216.936339,66
154,3251.310111,66
155,3239.489847,67
156,3191.584226,67
157,3189.808792,67
158,3218.424947,66
159,3210.063573,66
160,3224.263614,67
161,3183.772955,69
162,3206.992952,66
163,3239.113769,67
164,3207.434759,66
165,3243.347006,65
166,3183.772955,66
167,3202.943347,66
168,3153.879002,66
169,3181.111558,64
170,3165.653820,68
171,3283.461321,67
172,3149.270799,66
173,3138.335765,69
174,3127.953458,72
175,3180.478485,78
176,3133.916262,68
177,3241.593610,66
178,3182.363200,65
179,3217.600829,67
180,3149.850963,65
181,3200.682609,69
182,3182.856664,66
183,3245.040079,65
184,3219.049984,65
185,3259.219593,65
186,3171.672416,66
187,3195.578858,67
188,3268.837919,66
189,3181.081029,65
190,3236.180237,68
191,3173.272140,63
192,3308.174115,70
193,3133.916262,68
194,3209.678487,66
195,3183.866945,66
196,3227.359285,67
197,3213.970391,65
198,3285.167561,65
199,3215.653478,63
200,3173.061641,67
